model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,m6i.8xlarge,rack,2021,2,95,Xeon E5-2650,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,4
AWS,m6i.12xlarge,rack,2021,2,95,Xeon E5-2650,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,"2,666666667"
AWS,m6i.16xlarge,rack,2021,2,115,Xeon E5-2665,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,2
AWS,m6i.24xlarge,rack,2021,2,115,Xeon E5-2665,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,"1,333333333"
AWS,m6i.32xlarge,rack,2021,2,115,Xeon E5-2665,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,1
AWS,r5.large,rack,2018,2,115,Xeon E5-2670,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,48
AWS,r5.xlarge,rack,2018,2,115,Xeon E5-2670,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,24
AWS,r5.2xlarge,rack,2018,2,115,Xeon E5-2670,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,12
AWS,r5.4xlarge,rack,2018,2,115,Xeon E5-2670,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,6
AWS,r5.8xlarge,rack,2019,2,145,Xeon E5-2686 v4,24,Intel,Skylake,2019,14,,24,32,,,,0,EBS,0,,2,,3
AWS,r5.12xlarge,rack,2018,2,145,Xeon E5-2686 v4,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,2
AWS,r5.16xlarge,rack,2019,2,145,Xeon E5-2686 v4,24,Intel,Skylake,2019,14,,24,32,,,,0,EBS,0,,2,,"1,5"
AWS,r5.24xlarge,rack,2018,2,145,Xeon E5-2686 v4,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,1
AWS,r5.metal,rack,2018,2,120,Xeon E5-2676 v3,24,Intel,Skylake,2018,14,,24,32,,,,0,EBS,0,,2,,1
AWS,r5a.large,rack,2018,2,145,Xeon E5-2686 v4,24,AMD,Naples,2018,14,,24,32,,,,0,EBS,0,,2,,48
AWS,r5a.xlarge,rack,2018,2,240,Xeon Platinum 8175M,24,AMD,Naples,2018,14,,24,32,,,,0,EBS,0,,2,,24
