,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
309,db.m2.4xlarge,8,68.0,0,0,0,platform_aws_m2,,0.0076,34.80477,0.0034,0.0086,0.0129,82.902225,0.0081,0.0204,0.0307,103.75596,0.0102,0.0255,0.038
310,m2.4xlarge,8,68.0,1680,0,0,platform_aws_m2,,0.01,34.80477,0.0034,0.0086,0.0129,82.902225,0.0081,0.0204,0.0307,103.75596,0.0102,0.0255,0.038
311,cache.m3.medium,1,3.72,4,0,0,platform_aws_m3,,0.00063,2.5450946500000002,0.000249,0.00063,0.00094,8.557276525,0.00084,0.00211,0.00317,11.163993400000003,0.00109,0.00275,0.0041
312,db.m3.medium,1,3.73,0,0,0,platform_aws_m3,,0.00061,2.5488718500000003,0.00025,0.00063,0.00094,8.561053724999999,0.00084,0.00211,0.00317,11.1677706,0.00109,0.00275,0.0041
313,m3.medium,1,3.74,4,0,0,platform_aws_m3,,0.00063,2.55264905,0.00025,0.00063,0.00094,8.564830925,0.00084,0.00211,0.00317,11.1715478,0.00109,0.00275,0.0041
314,m3.medium.elasticsearch,1,3.75,4,0,0,platform_aws_m3,,0.00063,2.55642625,0.000251,0.00063,0.00095,8.568608124999999,0.00084,0.00211,0.00317,11.175325,0.0011,0.00275,0.0041
315,db.m3.large,2,7.5,0,0,0,platform_aws_m3,,0.0012,5.1128525,0.0005,0.00126,0.00189,17.137216249999998,0.00168,0.0042,0.0063,22.35065,0.00219,0.0055,0.0083
316,m3.large,2,7.5,32,0,0,platform_aws_m3,,0.0013,5.1128525,0.0005,0.00126,0.00189,17.137216249999998,0.00168,0.0042,0.0063,22.35065,0.00219,0.0055,0.0083
317,m3.large.elasticsearch,2,7.5,32,0,0,platform_aws_m3,,0.0013,5.1128525,0.0005,0.00126,0.00189,17.137216249999998,0.00168,0.0042,0.0063,22.35065,0.00219,0.0055,0.0083
318,db.m3.xlarge,4,15.0,0,0,0,platform_aws_m3,,0.0025,10.225705,0.001,0.00252,0.0038,34.274432499999996,0.0034,0.0084,0.0127,44.7013,0.0044,0.011,0.0165
319,m3.xlarge,4,15.0,80,0,0,platform_aws_m3,,0.0027,10.225705,0.001,0.00252,0.0038,34.274432499999996,0.0034,0.0084,0.0127,44.7013,0.0044,0.011,0.0165
320,m3.xlarge.elasticsearch,4,15.0,80,0,0,platform_aws_m3,,0.0027,10.225705,0.001,0.00252,0.0038,34.274432499999996,0.0034,0.0084,0.0127,44.7013,0.0044,0.011,0.0165
321,db.m3.2xlarge,8,30.0,0,0,0,platform_aws_m3,,0.0049,20.45141,0.002,0.005,0.0076,68.54886499999999,0.0067,0.0169,0.0254,89.4026,0.0088,0.022,0.0331
322,m3.2xlarge,8,30.0,160,0,0,platform_aws_m3,,0.0055,20.45141,0.002,0.005,0.0076,68.54886499999999,0.0067,0.0169,0.0254,89.4026,0.0088,0.022,0.0331
323,m3.2xlarge.elasticsearch,8,30.0,160,0,0,platform_aws_m3,,0.0055,20.45141,0.002,0.005,0.0076,68.54886499999999,0.0067,0.0169,0.0254,89.4026,0.0088,0.022,0.0331
324,cache.m4.large,2,6.0,0,0,0,platform_aws_m4-a,,0.00065,3.5440066666666663,0.00035,0.00087,0.00131,10.282525555555555,0.00101,0.00253,0.0038,13.20409222222222,0.00129,0.00325,0.0049
325,db.m4.large,2,8.0,0,0,0,platform_aws_m4-a,,0.00076,4.299446666666666,0.00042,0.00106,0.00159,11.037965555555555,0.00108,0.00272,0.0041,13.959532222222222,0.00137,0.0034,0.0052
326,m4.large,2,8.0,0,0,0,platform_aws_m4-a,,0.00076,4.299446666666666,0.00042,0.00106,0.00159,11.037965555555555,0.00108,0.00272,0.0041,13.959532222222222,0.00137,0.0034,0.0052
327,m4.large.elasticsearch,2,8.0,0,0,0,platform_aws_m4-a,,0.00076,4.299446666666666,0.00042,0.00106,0.00159,11.037965555555555,0.00108,0.00272,0.0041,13.959532222222222,0.00137,0.0034,0.0052
328,cache.m4.xlarge,4,14.0,0,0,0,platform_aws_m4-a,,0.0014,7.843453333333334,0.00077,0.00193,0.0029,21.320491111111114,0.00209,0.0052,0.0079,27.163624444444444,0.00266,0.0067,0.0101
329,db.m4.xlarge,4,16.0,0,0,0,platform_aws_m4-a,,0.0015,8.598893333333333,0.00084,0.00212,0.00318,22.07593111111111,0.00216,0.0054,0.0082,27.919064444444444,0.00274,0.0069,0.0103
330,m4.xlarge,4,16.0,0,0,0,platform_aws_m4-a,,0.0015,8.598893333333333,0.00084,0.00212,0.00318,22.07593111111111,0.00216,0.0054,0.0082,27.919064444444444,0.00274,0.0069,0.0103
331,m4.xlarge.elasticsearch,4,16.0,0,0,0,platform_aws_m4-a,,0.0015,8.598893333333333,0.00084,0.00212,0.00318,22.07593111111111,0.00216,0.0054,0.0082,27.919064444444444,0.00274,0.0069,0.0103
332,cache.m4.2xlarge,8,30.0,0,0,0,platform_aws_m4-a,,0.0029,16.442346666666666,0.00161,0.004,0.0061,43.39642222222222,0.0043,0.0107,0.0161,55.082688888888896,0.0054,0.0136,0.0204
333,db.m4.2xlarge,8,32.0,0,0,0,platform_aws_m4-a,,0.003,17.197786666666666,0.00169,0.0042,0.0064,44.15186222222222,0.0043,0.0109,0.0163,55.83812888888889,0.0055,0.0137,0.0207
334,m4.2xlarge,8,32.0,0,0,0,platform_aws_m4-a,,0.003,17.197786666666666,0.00169,0.0042,0.0064,44.15186222222222,0.0043,0.0109,0.0163,55.83812888888889,0.0055,0.0137,0.0207
335,m4.2xlarge.elasticsearch,8,32.0,0,0,0,platform_aws_m4-a,,0.003,17.197786666666666,0.00169,0.0042,0.0064,44.15186222222222,0.0043,0.0109,0.0163,55.83812888888889,0.0055,0.0137,0.0207
336,cache.m4.4xlarge,16,61.0,0,0,0,platform_aws_m4-a,,0.0059,33.262413333333335,0.00326,0.0082,0.0123,87.17056444444445,0.0085,0.0214,0.0323,110.54309777777777,0.0108,0.0272,0.041
337,db.m4.4xlarge,16,64.0,0,0,0,platform_aws_m4-a,,0.0061,34.39557333333333,0.0034,0.0085,0.0127,88.30372444444444,0.0087,0.0217,0.0327,111.67625777777778,0.0109,0.0275,0.041
338,m4.4xlarge,16,64.0,0,0,0,platform_aws_m4-a,,0.0061,34.39557333333333,0.0034,0.0085,0.0127,88.30372444444444,0.0087,0.0217,0.0327,111.67625777777778,0.0109,0.0275,0.041
